qnrnumb,visit,howoft,likenet,research,safeweb,goodtool,notouse,another,likeproc,hassle,visits,friend,billbrd,banner,surfing,sengine,tv,theater,nwspaper,other,easyuse,helpful,positive,useonly,influenc,secure,didbuy,better,howmuch,safe,wanttest,price,tradein,handson,checkit,noweeks,worth,sticker,actual,age,marital,children,educate,race,income,gender
1.0,Yes,Almost never,Disagree,Neutral,Disagree,Strongly Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,8.0,No,No,No,Yes,No,No,Yes,No,Yes,Disagree,Disagree,Agree,Strongly Disagree,Agree,Strongly Agree,Yes,Yes,Somewhat better,Strongly Disagree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Disagree,1.0,11000.0,15000.0,12000.0,46.0,Single,,Some college,Caucasian,"$80,000 - $95,000",Male
2.0,Yes,Occasionally,Neutral,Agree,Neutral,Neutral,Strongly Agree,Neutral,Strongly Disagree,Strongly Disagree,5.0,No,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Agree,Neutral,No,,,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,2.0,15000.0,20000.0,18000.0,22.0,Single,,Graduate degree,Caucasian,"Over $110,000",Female
3.0,Yes,Occasionally,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Agree,10.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Disagree,Agree,Strongly Disagree,Neutral,Neutral,No,,,Disagree,Agree,Agree,Strongly Disagree,Strongly Agree,Disagree,4.0,7000.0,12000.0,9000.0,31.0,Divorced,2.0,Undergraduate degree,Caucasian,"Under $35,000",Female
4.0,Yes,Occasionally,Neutral,Agree,Neutral,Disagree,Agree,Disagree,Strongly Disagree,Strongly Agree,4.0,No,No,No,No,Yes,No,No,No,No,Neutral,Strongly Agree,Agree,Strongly Disagree,Agree,Agree,Yes,Yes,A great deal better,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,5.0,2000.0,10000.0,7000.0,37.0,Single,,High school,Caucasian,"$50,000 - $65,000",Male
5.0,Yes,Never,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,1.0,Yes,No,No,Yes,Yes,No,No,No,No,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Yes,Yes,Much better,Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral,1.0,,11000.0,8000.0,36.0,Married,1.0,Less than high school,Hispanic,"$35,000 - $50,000",Male
6.0,Yes,Occasionally,Neutral,Agree,Neutral,Agree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,7.0,No,No,Yes,No,No,Yes,No,No,No,Neutral,Disagree,Strongly Disagree,Disagree,Agree,Agree,No,,,Strongly Disagree,Agree,Strongly Disagree,Strongly Agree,Neutral,Strongly Disagree,1.0,18000.0,21000.0,20000.0,36.0,Married,0.0,Graduate degree,Asian,"$95,000 - $110,000",Male
7.0,Yes,Almost never,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,8.0,No,No,No,Yes,No,No,No,No,No,Strongly Disagree,Agree,Agree,Disagree,Agree,Agree,No,,,Agree,Agree,Strongly Disagree,Neutral,Neutral,Strongly Disagree,5.0,15000.0,20000.0,19000.0,44.0,Divorced,3.0,High school,Asian,"$80,000 - $95,000",Male
8.0,Yes,Occasionally,Agree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,6.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,No,,,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Disagree,1.0,10000.0,17000.0,16000.0,40.0,Married,0.0,Other,Asian,"Over $110,000",Male
9.0,Yes,Often,Neutral,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Strongly Agree,12.0,No,No,No,No,Yes,No,No,No,No,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,No,,,Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,1.0,21000.0,26000.0,24000.0,47.0,Divorced,1.0,High school,Asian,"$80,000 - $95,000",Male
10.0,Yes,Often,Agree,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Agree,11.0,No,No,No,Yes,No,No,No,No,No,Strongly Agree,Neutral,Neutral,Neutral,Agree,Agree,No,,,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Neutral,Disagree,9.0,9000.0,14000.0,12000.0,27.0,Single,,Graduate degree,Hispanic,"Under $35,000",Male
